name,description,category,quantity,price,supplier
Laptop Dell XPS 13,High-performance ultrabook,Electronics,10,1200.00,Dell Inc.
Wireless Mouse,Ergonomic wireless mouse,Accessories,50,25.99,Logitech
Office Chair,Adjustable office chair,Furniture,20,150.00,Herman Miller
Printer Ink Cartridge,Black ink cartridge for laser printers,Supplies,100,45.50,HP
USB Flash Drive,32GB USB 3.0 flash drive,Storage,75,12.99,SanDisk
Monitor 24-inch,Full HD LED monitor,Electronics,15,180.00,ASUS
Keyboard Mechanical,RGB backlit mechanical keyboard,Accessories,30,89.99,Corsair
Desk Lamp,LED desk lamp with adjustable brightness,Lighting,40,35.00,IKEA
External Hard Drive,1TB portable external HDD,Storage,25,65.00,Seagate
Coffee Maker,Programmable drip coffee maker,Appliances,8,79.99,Keurig
